Country,Population,2021/05/24,2021/05/25,2021/05/26,2021/05/27,2021/05/28
Japan,126476461,2743,3918,4485,4163,3701
Korea,51269185,516,699,629,587,533
Mongolia,3278290,634,680,653,785,769
Taiwan,23816775,595,539,635,670,554
